bg2020gj,bg2020ge,tr2012gj,tr2012ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G06000104001001,060014001001,G0600010400100,06001400100,0.9905092021,0.9893821681,0.9912733438,0.992448989,0.991334461,0.9919491468,0.989811372,0.999891452
G06000104001001,060014001001,G0600010421600,06001421600,0.0012416205,0,0,0,0,0,0,0
G06000104001001,060014001001,G0600010422600,06001422600,0.0017644815,0,0,0,0,0,0,0
G06000104001001,060014001001,G0600010422700,06001422700,0.0002678791,0.0047048413,0.0040991693,0.0028512741,0.0043356599,0.0040259699,0.0051073793,0
G06000104001001,060014001001,G0600010423700,06001423700,0.0034238679,0.0058631412,0.0045758025,0.0046645309,0.0042765123,0.0039710472,0.0050377039,0
G06000104001001,060014001001,G0600010423800,06001423800,0.0000080172,0.0000496566,0.0000514828,0.0000349472,0.0000531408,0.0000536094,0.0000432787,0.000108548
G06000104001001,060014001001,G0600130354001,06013354001,0.0027849318,0.0000001928,0.0000002016,0.0000002589,0.000000226,0.0000002268,0.0000002662,0
G06000104001002,060014001002,G0600010400100,06001400100,0.9980979876,0.9999933373,0.9999945111,0.9999967745,0.9999969603,0.9999971493,0.9999996145,0.9999781939
G06000104001002,060014001002,G0600130353001,06013353001,0.000184573,0,0,0,0,0,0,0
G06000104001002,060014001002,G0600130354001,06013354001,0.0017174394,0.0000066627,0.0000054889,0.0000032255,0.0000030397,0.0000028507,0.0000003855,0.0000218061
G06000104002001,060014002001,G0600010400200,06001400200,0.9976186344,0.9967428549,0.9978664633,0.9979063151,0.9980064605,0.9980246557,0.9970303135,1
G06000104002001,060014002001,G0600010423800,06001423800,0.0023813656,0.0032571451,0.0021335367,0.0020936849,0.0019935395,0.0019753443,0.0029696865,0
G06000104002002,060014002002,G0600010400200,06001400200,1,1,1,1,1,1,1,1
G06000104003001,060014003001,G0600010400300,06001400300,1,1,1,1,1,1,1,1
G06000104003002,060014003002,G0600010400300,06001400300,1,1,1,1,1,1,1,1
G06000104003003,060014003003,G0600010400300,06001400300,0.9832304568,0.9863309353,0.986440678,0.996031746,0.9904458599,0.9911242604,0.958041958,1
G06000104003003,060014003003,G0600010401100,06001401100,0.0167695432,0.0136690647,0.013559322,0.003968254,0.0095541401,0.0088757396,0.041958042,0
G06000104003004,060014003004,G0600010400300,06001400300,1,1,1,1,1,1,1,1
G06000104004001,060014004001,G0600010400400,06001400400,0.9704551235,0.9666999352,0.9674504412,0.9695377968,0.9691484756,0.9696871065,0.9581444801,0.9784637392
G06000104004001,060014004001,G0600010423902,06001423902,0.0295448765,0.0333000648,0.0325495588,0.0304622032,0.0308515244,0.0303128935,0.0418555199,0.0215362608
G06000104004002,060014004002,G0600010400400,06001400400,1,1,1,1,1,1,1,1
G06000104004003,060014004003,G0600010400400,06001400400,0.9748775454,0.9671075399,0.9688741716,0.9756410401,0.9800798822,0.9805967282,0.9477096906,1
G06000104004003,060014004003,G0600010423902,06001423902,0.0251224546,0.0328924601,0.0311258284,0.0243589599,0.0199201178,0.0194032718,0.0522903094,0
G06000104005001,060014005001,G0600010400500,06001400500,0.9932951776,0.9881639935,0.9907043934,0.9928913508,0.9956635691,0.9922891719,0.9886585654,1
