tr2020gj,tr2020ge,tr2012gj,tr2012ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G0600010400100,06001400100,G0600010400100,06001400100,0.99182923,0.9937446929,0.9948936385,0.9956381942,0.9951496893,0.9954741142,0.9943778878,0.9999254778
G0600010400100,06001400100,G0600010421600,06001421600,0.0010256474,0,0,0,0,0,0,0
G0600010400100,06001400100,G0600010422600,06001422600,0.0014575595,0,0,0,0,0,0,0
G0600010400100,06001400100,G0600010422700,06001422700,0.000221283,0.0027705599,0.0023975392,0.0016465104,0.0024261033,0.0022626239,0.0028181789,0
G0600010400100,06001400100,G0600010423700,06001423700,0.0028283047,0.0034526529,0.0026763144,0.0026936023,0.0023930061,0.002231757,0.002779733,0
G0600010400100,06001400100,G0600010423800,06001423800,0.0000066227,0.0000292415,0.0000301115,0.0000201808,0.000029736,0.0000301289,0.0000238806,0.0000659684
G0600010400100,06001400100,G0600130353001,06013353001,0.0000321055,0,0,0,0,0,0,0
G0600010400100,06001400100,G0600130354001,06013354001,0.0025992473,0.0000028528,0.0000023965,0.0000015124,0.0000014652,0.000001376,0.0000003197,0.0000085538
G0600010400200,06001400200,G0600010400200,06001400200,0.9988304692,0.9983364306,0.9989254827,0.9987911462,0.9989686119,0.9989724666,0.998249575,1
G0600010400200,06001400200,G0600010423800,06001423800,0.0011695308,0.0016635694,0.0010745173,0.0012088538,0.0010313881,0.0010275334,0.001750425,0
G0600010400300,06001400300,G0600010400300,06001400300,0.9955097044,0.9965479651,0.9965620971,0.9991728701,0.9976842918,0.997829233,0.9943767573,1
G0600010400300,06001400300,G0600010401100,06001401100,0.0044902956,0.0034520349,0.0034379029,0.0008271299,0.0023157082,0.002170767,0.0056232427,0
G0600010400400,06001400400,G0600010400400,06001400400,0.9819154967,0.9777759374,0.9782512411,0.9803063979,0.9814597256,0.9820826109,0.9685505966,0.9915280922
G0600010400400,06001400400,G0600010423902,06001423902,0.0180845033,0.0222240626,0.0217487589,0.0196936021,0.0185402744,0.0179173891,0.0314494034,0.0084719078
G0600010400500,06001400500,G0600010400500,06001400500,0.993825073,0.9917133104,0.9931428634,0.9946325966,0.9960909521,0.9941617112,0.9929963053,0.9982594876
G0600010400500,06001400500,G0600010423901,06001423901,0.006174927,0.0082866896,0.0068571366,0.0053674034,0.0039090479,0.0058382888,0.0070036947,0.0017405124
G0600010400600,06001400600,G0600010400600,06001400600,1,1,1,1,1,1,1,1
G0600010400700,06001400700,G0600010400700,06001400700,0.9888120386,0.9830699562,0.9827589428,0.9949413117,0.9867129867,0.9838958774,1,0.9773380649
