,statefp,countyfp,tractce,blkgrpce,TOTPOP_C_1,TOTPOP_F_1,MEDVAL_C_1,MEDVAL_F_1,MEDHINC__1,MEDHINC__2,MEDCRNT_CY,MEDCRNT_FY,GENTRIFICATION
0,06,025,940000,3,724,713,69875,70000,28381,30654,711,725,-0.0013236648250460397
1,06,025,010800,2,863,899,366667,428495,100127,106067,878,942,0.0029350828729281745
2,06,025,010800,1,437,436,381579,530556,86119,87405,784,786,0.006273020257826882
3,06,025,011100,3,1551,1526,173214,173707,53064,55082,842,845,-0.004604051565377531
4,06,073,010013,2,798,787,571429,743750,63575,67173,1146,1268,0.04114871086556169
5,06,073,010103,3,2041,2005,645508,746462,52152,62814,1810,1913,-0.011855432780847157
6,06,073,010104,2,2175,2301,729638,1047743,128648,146468,2669,2709,0.11343232044198898
7,06,073,010103,2,2351,2464,678205,824895,80446,93838,2410,2801,0.003913443830570906
8,06,073,010106,1,2261,2211,310769,452410,79917,91212,1915,2107,-0.0012085635359115887
9,06,073,010106,2,1465,1425,489474,659722,46518,53247,742,1016,0.01030156537753223
10,06,073,010106,3,1333,1297,347521,347600,67396,75758,1690,1783,-0.0222720994475138
11,06,073,012402,2,1649,1688,925000,1246350,76968,82369,1858,2551,0.10946132596685083
12,06,073,010107,1,2676,2612,667151,845905,66613,78347,2086,2193,-0.0057550644567219145
13,06,073,010107,2,1000,989,724734,772727,110623,124273,1381,1442,-0.04511970534069984
14,06,073,010107,3,1673,1701,169595,171622,79097,89506,2056,2212,-0.012603591160221004
15,06,073,010110,1,1695,1643,468333,587778,63190,73103,1862,2109,-0.016286832412523045
16,06,073,010110,2,1855,1906,606757,685914,81006,96441,1169,1606,0.0020718232044198877
17,06,073,010110,4,1500,1462,0,0,29650,35289,1670,1771,-0.011164825046040518
18,06,073,010110,5,1023,1047,650000,686667,129663,135889,2000,3192,0.07677255985267037
19,06,073,011700,4,1861,2072,119817,118873,83949,90692,1798,2093,0.02290515653775324
20,06,073,011801,1,1952,2019,1032258,1598765,56541,63818,1364,1599,0.07993784530386736
21,06,073,011801,2,896,881,835821,884146,86572,96802,1612,1782,-0.02992633517495396
22,06,073,011700,3,1432,1393,483929,677500,24960,27836,1144,1495,0.019337016574585635
23,06,073,011802,1,2094,2128,609060,632485,77238,84434,1852,2321,0.0017265193370165771
24,06,073,011802,2,2236,2170,466667,478659,54095,59749,1894,2109,-0.03211325966850828
25,06,073,011902,1,1509,1527,738889,937500,85925,93494,2199,2290,0.07884438305709023
26,06,073,010112,1,2390,2341,449679,487069,56191,61510,1911,1934,-0.038558931860036845
27,06,073,010111,1,1041,1039,736842,869518,76791,90981,1930,2836,0.09081491712707182
28,06,073,010300,4,922,932,859940,926724,38750,38751,482,910,0.015308471454880348
29,06,073,011902,2,2034,2070,604469,783654,75671,80651,3494,3488,0.02624309392265195
30,06,073,011902,4,1235,1203,652616,681548,107978,114096,1857,1870,-0.06612569060773482
31,06,073,012002,1,865,859,628289,825820,65948,72770,1388,1610,0.026991252302025762
32,06,073,012002,2,2262,2206,631849,722222,26955,34143,1520,2025,0.01973987108655618
33,06,073,012003,2,2285,2308,640873,700123,83885,102264,1747,2597,0.05835635359116022
34,06,073,012101,1,2074,2013,721739,921875,95708,113652,1650,2662,0.17466620626151017
35,06,073,012102,1,1519,1504,687500,831633,72108,81331,1636,1806,-0.0104742173112339
36,06,073,012102,2,1501,1477,694444,902926,66168,82142,1794,2664,0.14105662983425418
37,06,073,012200,2,2776,2935,725586,1080078,65822,79025,2356,2584,0.12799263351749535
38,06,073,012302,1,1916,1939,792308,880618,45574,56814,1970,2177,-0.010186464088397768
39,06,073,012303,1,2334,2278,828917,874517,103837,118829,2194,3501,0.09213858195211788
40,06,073,012303,2,1244,1226,696429,787500,58037,64707,1470,1494,-0.03476058931860035
41,06,073,012304,1,930,940,576705,744444,73808,81965,3006,3152,0.024976979742173118
42,06,073,010402,1,2205,2152,1116525,1237805,72101,80592,2170,2487,-0.0044889502762430755
43,06,073,010402,2,1077,1084,833333,862028,74000,81766,1871,2077,-0.06169429097605892
44,06,073,010501,1,1307,1274,1058190,1253425,113676,122321,3270,3269,-0.011395027624309426
45,06,073,010401,1,2344,2315,1042614,1199612,81332,95427,2118,2780,0.041321362799263336
46,06,073,010502,1,1566,1546,495833,796875,70181,73639,2023,2787,0.12546040515653778
47,06,073,010502,2,951,953,691964,905172,30918,33722,1729,1808,0.06520488029465929
48,06,073,010502,3,1591,1585,389286,483333,66957,72016,1742,1837,-0.007826887661141813
49,06,073,012401,1,1136,1166,80000,115625,92128,102360,1865,1923,-0.0093232044198895
50,06,073,012401,2,2517,2465,825758,870427,87602,98307,1824,2055,-0.041494014732965
51,06,073,012402,1,1587,1574,539062,835227,54891,67621,1792,1956,0.06842771639042355
52,06,073,012304,2,3244,3348,842580,904613,137235,169891,1986,2609,0.029868784530386744
53,06,073,012600,3,1737,1703,496552,637640,81287,87047,1763,2230,0.025840239410681407
54,06,073,013102,1,1625,1594,676042,821429,86233,105258,1746,1784,-0.02261740331491712
55,06,073,013103,1,1058,1073,56190,59247,79582,82470,1396,1452,-0.0020718232044198877
56,06,073,013103,2,1662,1615,625000,845588,67214,73919,2206,2462,0.04045810313075507
57,06,073,013104,1,1913,1865,881250,909091,43073,50000,1631,1793,-0.05432780847145488
58,06,073,013104,3,1770,1724,673851,698864,78816,82483,2011,2379,-0.03050184162062615
59,06,073,013203,1,1331,1392,825893,865991,56138,68444,1710,1799,-0.036314456721915286
60,06,073,010502,4,1427,1382,869213,940476,111449,127617,1903,3094,0.11193600368324126
61,06,073,010601,1,918,894,2000001,2000001,214061,227914,3470,3469,-0.02221454880294655
62,06,073,010800,1,1229,1190,1946809,2000001,120544,126937,3501,3501,-0.004316298342541394
63,06,073,012600,4,1247,1233,781250,873596,76875,90688,1756,1839,-0.01237338858195211
64,06,073,012700,1,2017,2145,752358,859375,71476,79692,1812,2040,0.0004028545119705365
65,06,073,012800,1,865,890,747899,852094,107114,116282,2232,2310,-0.039537292817679544
66,06,073,012800,2,1092,1065,805640,870122,158065,174465,1405,1439,-0.028199815837937372
67,06,073,013000,4,926,899,814815,861994,87486,93311,2270,2797,-0.014963167587477011
68,06,073,010900,1,704,689,2000001,2000001,201739,219954,3501,3501,-0.01375460405156535
69,06,073,010900,2,868,849,2000001,2000001,176116,199404,3071,3501,0.02319290976058936
70,06,073,011000,1,1591,1554,2000001,2000001,99002,112201,3424,3423,-0.026530847145488035
71,06,073,011000,2,1318,1320,1990964,2000001,156981,174637,3230,3435,0.004201197053407019
72,06,073,011100,1,1765,1722,1797872,1798423,113001,121469,2631,3501,0.06117633517495394
73,06,073,011100,2,1231,1207,1945946,2000001,157124,167845,3456,3459,-0.00834484346224676
74,06,073,013415,1,1585,1547,787076,842290,166854,189040,2266,2285,-0.08465699815837936
75,06,073,013416,1,1681,1642,864387,1003125,130744,151457,394,391,0.04229972375690608
76,06,073,013416,2,2132,2082,796402,846210,121039,137113,2669,3049,-0.04644337016574587
77,06,073,013417,1,1886,1835,896084,938889,159358,174692,3342,3501,-0.009783609576427266
78,06,073,013418,1,1157,1127,625000,703804,39239,48871,3095,3164,-0.029926335174953966
