,medhinc23,medhval23,medrent23,totpop23,GEOID,totpop19,medhval19,medrent19,medhinc19,GENTRIFICATION
0,211023.0,1825500.0,3501.0,2746,06073000100,3093.0,1281100.0,2222.0,138879.0,-0.04265033421535033
1,110476.0,1445900.0,2299.0,2376,06073000201,1891.0,825400.0,1601.0,88125.0,-0.05044256127022198
2,121264.0,966200.0,2141.0,4019,06073000202,4542.0,788600.0,1528.0,76658.0,-0.01901792306156186
3,79605.0,895600.0,1849.0,2487,06073000301,2340.0,659800.0,1555.0,68679.0,0.055990562392066824
4,89850.0,820800.0,2414.0,2925,06073000302,2899.0,659800.0,1555.0,68679.0,-0.02707500965725189
5,89565.0,802500.0,2246.0,4079,06073000400,3801.0,514400.0,1515.0,70267.0,-0.08149807933658428
6,101875.0,1031800.0,1919.0,2828,06073000500,3153.0,764883.0,1620.0,82606.0,0.057813394049968304
7,99161.0,723300.0,1900.0,3111,06073000600,3205.0,571400.0,1377.0,70500.0,-0.005375582800163696
8,109484.0,833900.0,1875.0,4371,06073000700,4624.0,538300.0,1651.0,87656.0,0.03449427563507382
9,92348.0,795900.0,1997.0,5105,06073000800,5178.0,581900.0,1502.0,73520.0,0.011133677659855776
10,106133.0,800700.0,1972.0,3951,06073000901,3327.0,410400.0,1462.0,64092.0,-0.19814012031947772
11,83678.0,612500.0,1911.0,2661,06073000902,2414.0,410400.0,1462.0,64092.0,-0.029431690578019427
12,86443.0,674500.0,1899.0,4622,06073001000,4472.0,455400.0,1317.0,74406.0,-0.029244251934872706
13,94007.0,692400.0,2106.0,2939,06073001100,3168.0,515800.0,1634.0,79556.0,0.049188506528516626
14,68750.0,441900.0,1630.0,2290,06073001201,2574.0,402100.0,1289.0,51182.0,0.06837564682351907
15,102857.0,594300.0,1904.0,2966,06073001202,3463.0,402100.0,1289.0,51182.0,-0.08938216676489558
16,105903.0,536700.0,1998.0,2713,06073001301,2732.0,364400.0,1527.0,64688.0,-0.04985837870472386
17,83659.0,914600.0,1818.0,3245,06073001302,3524.0,364400.0,1527.0,64688.0,-0.1041989706974576
18,94156.0,1080700.0,1927.0,3341,06073001400,3456.0,729500.0,1535.0,79953.0,0.025960023114221104
19,110380.0,856500.0,2082.0,3934,06073001500,3827.0,633900.0,1501.0,80337.0,-0.029505002121202037
20,63003.0,493200.0,1719.0,5065,06073001600,5821.0,410700.0,1337.0,43307.0,0.06845704276225731
21,90404.0,616100.0,1741.0,4846,06073001700,4448.0,433700.0,1381.0,65074.0,-0.023640734965732484
22,70682.0,485100.0,1762.0,1805,06073001801,2160.0,482700.0,1377.0,55156.0,0.11284499644096091
23,82013.0,525000.0,1965.0,3248,06073001802,3257.0,482700.0,1377.0,55156.0,0.029576095889903224
24,131619.0,1023400.0,2231.0,3343,06073001900,3276.0,694436.0,1673.0,100820.0,-0.016375376769388203
25,188306.0,1324100.0,2780.0,3566,06073002001,3306.0,893400.0,2700.0,160545.0,0.034782992231989905
26,166605.0,1061900.0,2268.0,2626,06073002002,2610.0,748900.0,1907.0,113250.0,0.020692722580667084
27,76648.0,1052800.0,1886.0,5795,06073002100,5471.0,579200.0,1465.0,66811.0,-0.036484132110189235
28,40647.0,,1590.0,3145,06073002201,3328.0,450800.0,1054.0,32191.0,
29,53537.0,360800.0,1570.0,4825,06073002202,5477.0,404800.0,1072.0,33731.0,0.06898114023111336
30,76884.0,689100.0,1670.0,3190,06073002301,3073.0,381800.0,1278.0,44891.0,-0.09339412394981042
31,46806.0,778400.0,1529.0,5882,06073002302,7300.0,308000.0,1062.0,32087.0,-0.08622085534531584
32,75813.0,592900.0,1941.0,4314,06073002401,4791.0,436900.0,1305.0,51792.0,-0.007418253983801949
33,54944.0,575800.0,1623.0,4951,06073002402,5189.0,272900.0,1088.0,33224.0,-0.03878516340043452
34,76208.0,603700.0,1825.0,4878,06073002501,5406.0,386500.0,1225.0,51014.0,-0.035478791761594825
35,94092.0,629500.0,1919.0,6932,06073002502,6479.0,419100.0,1404.0,59099.0,-0.08492354389437187
36,65000.0,586200.0,1702.0,5994,06073002601,5609.0,333300.0,1123.0,32698.0,-0.08575092257860978
37,58417.0,564600.0,1958.0,4655,06073002602,4452.0,425800.0,1231.0,50875.0,-0.021638094889836357
38,80090.0,707900.0,2018.0,5559,06073002702,6350.0,427900.0,1580.0,60057.0,-0.020271208671906266
39,83644.0,553000.0,1872.0,7082,06073002703,7035.0,347801.0,1499.0,55014.0,-0.023518129361013926
40,75703.0,591100.0,1883.0,4756,06073002705,4133.0,391500.0,1596.0,63565.0,0.0036682018089233756
41,45529.0,500000.0,1583.0,4980,06073002707,5405.0,190300.0,1145.0,35547.0,0.007413290600403526
42,41119.0,532100.0,1556.0,4789,06073002708,5395.0,301500.0,1050.0,28462.0,0.010006504002507976
43,53520.0,610400.0,1508.0,3800,06073002709,4470.0,451300.0,1106.0,33958.0,0.06425356331903964
44,58636.0,664500.0,1564.0,3921,06073002710,4640.0,397900.0,1117.0,54973.0,0.028764139995192547
45,87011.0,610000.0,2363.0,3772,06073002711,3327.0,388675.0,1783.0,59345.0,-0.08145135302824068
46,54083.0,550500.0,1505.0,5566,06073002712,5658.0,326200.0,1142.0,38152.0,-0.0023286218005335937
47,73795.0,1199500.0,1531.0,4477,06073002801,3214.0,700300.0,1463.0,40318.0,-0.08668575221610972
48,80991.0,791500.0,2092.0,5207,06073002803,4897.0,443000.0,1255.0,53036.0,-0.16274830922767983
49,88156.0,940200.0,2143.0,5541,06073002804,5750.0,626000.0,2284.0,82983.0,0.13900674930221035
50,75729.0,757200.0,1844.0,5979,06073002902,7474.0,543700.0,1516.0,55878.0,0.055465658214246316
51,93344.0,650100.0,2500.0,4606,06073002903,4031.0,450200.0,1626.0,67974.0,-0.10777859680981022
52,45746.0,686700.0,2202.0,9812,06073002904,10078.0,574600.0,1484.0,34784.0,0.00981839013887148
53,74500.0,580000.0,1755.0,5310,06073002905,4278.0,460800.0,1480.0,51830.0,0.012795352828184121
54,91397.0,624500.0,1425.0,4484,06073003001,4664.0,425700.0,1358.0,79385.0,0.06299560839323942
55,84622.0,612900.0,2274.0,4926,06073003003,5719.0,426300.0,1832.0,71066.0,0.0686152227096524
56,64815.0,488400.0,1654.0,5260,06073003004,5107.0,349300.0,1308.0,49708.0,0.018074698607347468
57,88229.0,595600.0,2114.0,3913,06073003101,4041.0,417300.0,1719.0,54511.0,-6.0093331240358705e-05
58,99919.0,606200.0,2158.0,6462,06073003103,6105.0,412600.0,1430.0,68553.0,-0.08395456176587632
59,108068.0,577500.0,3042.0,4343,06073003105,4664.0,384900.0,2084.0,70870.0,-0.06283779054449215
60,97105.0,609900.0,2405.0,5307,06073003107,6145.0,395000.0,1873.0,73897.0,0.023189515704680266
61,112837.0,599300.0,1938.0,3526,06073003108,3797.0,415200.0,1760.0,82143.0,0.05508286795950203
62,123368.0,588400.0,2299.0,3319,06073003109,3257.0,419000.0,1934.0,82955.0,0.006009786109784664
63,46528.0,553700.0,1522.0,6211,06073003111,6402.0,441300.0,1233.0,42073.0,0.07732288824029493
64,85965.0,551700.0,1683.0,3938,06073003112,4456.0,390400.0,992.0,72125.0,0.04026343818420737
65,114028.0,625800.0,2268.0,4719,06073003113,5419.0,425600.0,2018.0,88707.0,0.07855588651774582
66,110081.0,647200.0,2612.0,3482,06073003114,3462.0,443400.0,2223.0,99934.0,0.057667192319878144
67,85156.0,625200.0,763.0,5613,06073003115,6874.0,425300.0,1131.0,59882.0,0.02438440136181627
68,93508.0,621600.0,2369.0,5488,06073003201,5157.0,425500.0,1907.0,67841.0,-0.017583651054886032
69,91435.0,603800.0,2314.0,4891,06073003202,4293.0,378800.0,1671.0,63402.0,-0.10409554391118545
70,118750.0,699200.0,2436.0,3605,06073003204,3285.0,458200.0,1935.0,87561.0,-0.03790268561081881
71,109704.0,909500.0,2291.0,5768,06073003207,6278.0,654400.0,1824.0,89702.0,0.053209755736848274
72,82594.0,507300.0,1836.0,6749,06073003208,6658.0,373800.0,1424.0,58217.0,-0.006599057309074861
73,80436.0,499300.0,1960.0,5277,06073003209,5469.0,320300.0,1441.0,59781.0,-0.015248147598918668
74,96563.0,591200.0,1643.0,3077,06073003211,3555.0,435500.0,1836.0,75708.0,0.1855126528405958
75,103281.0,661000.0,2314.0,3930,06073003212,4158.0,439131.0,1817.0,100155.0,0.07431339557408147
76,125164.0,660500.0,3087.0,3825,06073003213,4582.0,451600.0,2106.0,112318.0,0.0448911171087511
77,80762.0,477700.0,2504.0,4587,06073003214,5314.0,386100.0,1668.0,71496.0,0.03995430097651349
78,72773.0,574300.0,1575.0,3338,06073003301,3820.0,369400.0,1312.0,47174.0,0.0275058649307448
79,57699.0,499400.0,1713.0,3969,06073003303,4841.0,314943.0,1332.0,31766.0,0.044801765056906195
80,45362.0,,1718.0,3164,06073003304,4099.0,291000.0,1220.0,42198.0,
81,56842.0,572500.0,1551.0,6521,06073003305,6601.0,342100.0,1130.0,30293.0,-0.026298160207722278
82,78026.0,621300.0,2045.0,5794,06073003401,6382.0,385400.0,1597.0,61667.0,0.0003706321437759591
83,66711.0,571900.0,2123.0,3681,06073003403,4094.0,375200.0,1261.0,49477.0,-0.04587199625180281
84,75843.0,483800.0,1763.0,4595,06073003404,5062.0,385400.0,1269.0,46923.0,0.010108462660976487
85,59974.0,452900.0,1633.0,3591,06073003501,4929.0,338400.0,1308.0,37050.0,0.09682077167190925
86,43807.0,573400.0,1625.0,4655,06073003502,4754.0,318800.0,1164.0,35911.0,-0.01996717288896995
87,83233.0,577600.0,1736.0,3460,06073003601,3006.0,372300.0,1152.0,39469.0,-0.1166927240736975
88,64444.0,517900.0,1637.0,3719,06073003602,3427.0,344800.0,1342.0,54375.0,0.02141639191758871
89,63664.0,577900.0,1739.0,3176,06073003603,3907.0,353500.0,1291.0,50236.0,0.03574348240202116
90,,,,8774,06073003800,6372.0,0.0,0.0,0.0,
91,67459.0,487400.0,1806.0,4381,06073003901,4379.0,379500.0,1161.0,40250.0,-0.039535946204277306
92,53750.0,478000.0,1683.0,4257,06073003902,4388.0,352900.0,1159.0,44900.0,0.01828777969010532
93,53643.0,551900.0,1839.0,4151,06073004000,4513.0,432700.0,1021.0,35056.0,0.00029585097333068716
94,56931.0,396600.0,1830.0,4163,06073004101,5032.0,510400.0,1509.0,56797.0,0.2152418158125125
95,75000.0,714300.0,2042.0,2169,06073004102,2275.0,510400.0,1509.0,56797.0,-0.0024657774764798874
96,138021.0,1058400.0,2188.0,5903,06073004200,6291.0,691200.0,1926.0,117710.0,0.06979321500558783
97,107846.0,1124600.0,1970.0,4339,06073004300,3943.0,800800.0,1467.0,70250.0,-0.08064264025632958
98,102069.0,1129300.0,2156.0,4097,06073004400,4099.0,759800.0,1366.0,70938.0,-0.08772596121722046
99,77444.0,870700.0,1868.0,2850,06073004501,2505.0,387100.0,1302.0,50592.0,-0.1808365849313074
100,72774.0,853100.0,1780.0,1996,06073004600,2004.0,705700.0,1292.0,57329.0,0.03135607257760904
