input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
8babcc7f-99a9-4f16-8208-be98d5abf15e,https://www.google.com/maps/place/SOI+PB+THAI+STREET+FOOD/data=!4m7!3m6!1s0x80dc012bc3916dd7:0x2dd2bcbae68c57a6!8m2!3d32.7987806!4d-117.2564281!16s%2Fg%2F11kqs4t8l2!19sChIJ122RwysB3IARpleM5rq80i0?authuser=0&hl=en&rclk=1,SOI PB THAI STREET FOOD,Restaurant,"4658 Mission Blvd, San Diego, CA 92109","{""Tuesday"":[""11:30 AM–3 PM"",""4–9 PM""]}",{},http://www.soipbsandiego.com/,(858) 263-4309,"QPXV+GC San Diego, California",0,4.700000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",32.798781,-117.256428,3301908987733890982,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQuVuDpJuNxdcswNmR6-i4F5fsvINxA74orTt4Rr1T-j1o8ynmrZEYoGJKiroHxdD2g8pYt5kuWod-OtGoVO3ELcOTo4_Cg-FleTvsRAVbUQKT06bDmeyi54_HeIfGUXfMcmDiSaWrQcQ=w408-h306-k-no,America/Los_Angeles,,0x80dc012bc3916dd7:0x2dd2bcbae68c57a6,ChIJ122RwysB3IARpleM5rq80i0,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""113289878186113785543"",""name"":""SOI PB THAI STREET FOOD (Owner)"",""link"":""https://www.google.com/maps/contrib/113289878186113785543""}","{""borough"":""Pacific Beach"",""street"":""4658 Mission Blvd"",""city"":""San Diego"",""postal_code"":""92109"",""state"":""California"",""country"":""US""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":true},{""name"":""Wheelchair accessible restroom"",""enabled"":true},{""name"":""Wheelchair accessible seating"",""enabled"":true},{""name"":""Assistive hearing loop"",""enabled"":false},{""name"":""Wheelchair accessible parking lot"",""enabled"":false}]}]",[],null,
8babcc7f-99a9-4f16-8208-be98d5abf15e,https://www.google.com/maps/place/Spitz+-+Pacific+Beach/data=!4m7!3m6!1s0x80dc01c045be3a9d:0x87c42e9f83910d0d!8m2!3d32.7971175!4d-117.2521337!16s%2Fg%2F11xl2ymh6h!19sChIJnTq-RcAB3IARDQ2Rg58uxIc?authuser=0&hl=en&rclk=1,Spitz - Pacific Beach,Mediterranean restaurant,"967 Garnet Ave, San Diego, CA 92109","{""Tuesday"":[""11 AM–9 PM""]}",{},https://spitz-restaurant.com/,(858) 321-7388,"QPWX+R4 San Diego, California",0,4.900000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",32.797117,-117.252134,9782995553197559053,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBfDJF-57dnqgf2Bh9pRLSHct_nO84iA32Gg4OIxtPyHH8RthDfYnIoDXcQSplPor8gBVduXUw3d8NDEl0cZFnrbECtN-_axnWinWufEcC8MxbpexHfdYzV3NbjCKUiqkvMawA2PLvtzPE=w408-h306-k-no,America/Los_Angeles,,0x80dc01c045be3a9d:0x87c42e9f83910d0d,ChIJnTq-RcAB3IARDQ2Rg58uxIc,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""115951689690544451255"",""name"":""Spitz - Pacific Beach (Owner)"",""link"":""https://www.google.com/maps/contrib/115951689690544451255""}","{""borough"":""Pacific Beach"",""street"":""967 Garnet Ave"",""city"":""San Diego"",""postal_code"":""92109"",""state"":""California"",""country"":""US""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":true},{""name"":""Wheelchair accessible parking lot"",""enabled"":true},{""name"":""Wheelchair accessible seating"",""enabled"":true}]}]",[],null,
8babcc7f-99a9-4f16-8208-be98d5abf15e,https://www.google.com/maps/place/Mission+Baja+Tacos/data=!4m7!3m6!1s0x80dc01d8d47da75d:0xbfd4cfd823e0e2b1!8m2!3d32.7852126!4d-117.2528229!16s%2Fg%2F11w1k7dg8j!19sChIJXad91NgB3IARseLgI9jP1L8?authuser=0&hl=en&rclk=1,Mission Baja Tacos,Restaurant,"3819 Mission Blvd, San Diego, CA 92109","{""Tuesday"":[""10 AM–8 PM""]}",{},https://missionbajatacossd.com/home149648,(619) 388-9925,"QPPW+3V San Diego, California",0,4.900000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",32.785213,-117.252823,13822901683528721073,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPYF4qjGF05CjrJxTboCmnvAUFVfDJItha4NHWQa1xveRRLv4N6hWXBVZ5AAyxq8LESNRy6I9yuOfTS7RYNyNT1dRfLDkJ-pIMhhPBtJF7E-HGapljOwk3tOVNg7A9QlkWc7J7=w611-h240-k-no,America/Los_Angeles,,0x80dc01d8d47da75d:0xbfd4cfd823e0e2b1,ChIJXad91NgB3IARseLgI9jP1L8,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""109293273628619916206"",""name"":""Mission Baja Tacos (Owner)"",""link"":""https://www.google.com/maps/contrib/109293273628619916206""}","{""borough"":""Mission Beach"",""street"":""3819 Mission Blvd"",""city"":""San Diego"",""postal_code"":""92109"",""state"":""California"",""country"":""US""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":true},{""name"":""Wheelchair accessible parking lot"",""enabled"":true},{""name"":""Wheelchair accessible restroom"",""enabled"":true},{""name"":""Wheelchair accessible seating"",""enabled"":true}]}]",[],null,
8babcc7f-99a9-4f16-8208-be98d5abf15e,https://www.google.com/maps/place/Rosemarie%27s+Buns+%26+Brews/data=!4m7!3m6!1s0x80deab349ab1bc1d:0xf9a7b2d4a58b8d27!8m2!3d32.7858598!4d-117.2534859!16s%2Fg%2F11rjkfb33n!19sChIJHbyxmjSr3oARJ42LpdSyp_k?authuser=0&hl=en&rclk=1,Rosemarie's Buns & Brews,Hamburger restaurant,"3852 Mission Blvd, San Diego, CA 92109","{""Tuesday"":[""11 AM–9 PM""]}",{},https://rosemariesburgers.com/,(858) 999-0233,"QPPW+8J San Diego, California",0,4.700000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",32.785860,-117.253486,17989543862934932775,,,,https://lh3.googleusercontent.com/p/AF1QipMqFAiavnv0mN_qPMz_EPnjujgkkP-CYK045rs=w408-h544-k-no,America/Los_Angeles,,0x80deab349ab1bc1d:0xf9a7b2d4a58b8d27,ChIJHbyxmjSr3oARJ42LpdSyp_k,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""105471395651907909209"",""name"":""Rosemarie's Buns \u0026 Brews (Owner)"",""link"":""https://www.google.com/maps/contrib/105471395651907909209""}","{""borough"":""Mission Beach"",""street"":""3852 Mission Blvd"",""city"":""San Diego"",""postal_code"":""92109"",""state"":""California"",""country"":""US""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":true},{""name"":""Wheelchair accessible restroom"",""enabled"":true},{""name"":""Wheelchair accessible seating"",""enabled"":true}]}]",[],null,
8babcc7f-99a9-4f16-8208-be98d5abf15e,https://www.google.com/maps/place/PB+Poke+House/data=!4m7!3m6!1s0x80dc018f67d6532b:0xf0ce830cfe2b2339!8m2!3d32.7918888!4d-117.2544823!16s%2Fg%2F11g0cy4d6m!19sChIJK1PWZ48B3IAROSMr_gyDzvA?authuser=0&hl=en&rclk=1,PB Poke House,Hawaiian restaurant,"4150 Mission Blvd #145, San Diego, CA 92109","{""Tuesday"":[""11 AM–7 PM""]}",{},http://www.pbpokehouse.com/,(858) 886-7733,"QPRW+Q6 San Diego, California",0,4.700000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",32.791889,-117.254482,17351950506132185913,,"Poke bowls with marinated, seared & spiced seafood offered in a relaxed takeaway close to the beach.",,https://lh3.googleusercontent.com/p/AF1QipN2vRVjkJyP---kK1W7cNeEZIUbyEm7Z6CwyK8F=w408-h306-k-no,America/Los_Angeles,,0x80dc018f67d6532b:0xf0ce830cfe2b2339,ChIJK1PWZ48B3IAROSMr_gyDzvA,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""104017753164419339464"",""name"":""PB Poke House (Owner)"",""link"":""https://www.google.com/maps/contrib/104017753164419339464""}","{""borough"":""Pacific Beach"",""street"":""4150 Mission Blvd #145"",""city"":""San Diego"",""postal_code"":""92109"",""state"":""California"",""country"":""US""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":true},{""name"":""Wheelchair accessible parking lot"",""enabled"":true},{""name"":""Wheelchair accessible restroom"",""enabled"":true},{""name"":""Wheelchair accessible seating"",""enabled"":true}]}]",[],null,
8babcc7f-99a9-4f16-8208-be98d5abf15e,https://www.google.com/maps/place/Big+Jim%27s+Roast+Beef/data=!4m7!3m6!1s0x80dc0182cc0c9899:0x4304f5acba620c5f!8m2!3d32.7976127!4d-117.2520951!16s%2Fg%2F11v9zkvm02!19sChIJmZgMzIIB3IARXwxiuqz1BEM?authuser=0&hl=en&rclk=1,Big Jim's Roast Beef,Sandwich shop,"4508 Cass St suite b, San Diego, CA 92109","{""Tuesday"":[""Closed""]}",{},https://bigjimsandiego.com/,(858) 352-6762,"QPXX+25 San Diego, California",0,4.800000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",32.797613,-117.252095,4829254822658182239,,,,https://lh3.googleusercontent.com/p/AF1QipNHudopuGxNfx1cSBei1Gry10NaovZIh3xIhSBW=w408-h272-k-no,America/Los_Angeles,,0x80dc0182cc0c9899:0x4304f5acba620c5f,ChIJmZgMzIIB3IARXwxiuqz1BEM,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""105778202776581007080"",""name"":""Big Jim's Roast Beef (Owner)"",""link"":""https://www.google.com/maps/contrib/105778202776581007080""}","{""borough"":""Pacific Beach"",""street"":""4508 Cass St suite b"",""city"":""San Diego"",""postal_code"":""92109"",""state"":""California"",""country"":""US""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":true},{""name"":""Wheelchair accessible parking lot"",""enabled"":true},{""name"":""Wheelchair accessible seating"",""enabled"":true}]}]",[],null,
8babcc7f-99a9-4f16-8208-be98d5abf15e,https://www.google.com/maps/place/Taco+Surf+PB/data=!4m7!3m6!1s0x80dc018d632673d1:0x1084755cff66bcbc!8m2!3d32.7988484!4d-117.2560483!16s%2Fg%2F1tjy1szy!19sChIJ0XMmY40B3IARvLxm_1x1hBA?authuser=0&hl=en&rclk=1,Taco Surf PB,Mexican restaurant,"4657 Mission Blvd, San Diego, CA 92109","{""Tuesday"":[""8:30 AM–9 PM""]}",{},http://www.tacosurftacoshop.com/,(858) 272-3877,"QPXV+GH San Diego, California",0,4.500000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",32.798848,-117.256048,1190205243815017660,,Surfboard-heavy space steps from the boardwalk is popular for taco plates & build-your-own burritos.,,https://lh3.googleusercontent.com/p/AF1QipMIazicZ1IQsKscw8_KEQ1f5nMVpZ0n8pZ5U3b6=w408-h408-k-no,America/Los_Angeles,,0x80dc018d632673d1:0x1084755cff66bcbc,ChIJ0XMmY40B3IARvLxm_1x1hBA,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""108640143564512585140"",""name"":""Taco Surf PB (Owner)"",""link"":""https://www.google.com/maps/contrib/108640143564512585140""}","{""borough"":""Pacific Beach"",""street"":""4657 Mission Blvd"",""city"":""San Diego"",""postal_code"":""92109"",""state"":""California"",""country"":""US""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":true},{""name"":""Wheelchair accessible parking lot"",""enabled"":true},{""name"":""Wheelchair accessible restroom"",""enabled"":true},{""name"":""Wheelchair accessible seating"",""enabled"":true}]}]",[],null,
8babcc7f-99a9-4f16-8208-be98d5abf15e,https://www.google.com/maps/place/Shawarma+Shack/data=!4m7!3m6!1s0x80dc01d4b2ced42f:0x7f544b6e6954ee2d!8m2!3d32.8011678!4d-117.2331176!16s%2Fg%2F11smvtyxpv!19sChIJL9TOstQB3IARLe5UaW5LVH8?authuser=0&hl=en&rclk=1,Shawarma Shack,Mediterranean restaurant,"2015 Garnet Ave Ste 102, San Diego, CA 92109","{""Tuesday"":[""11 AM–9 PM""]}",{},https://shawarmashacksd.com/?utm_source=google,(858) 886-7372,"RQ28+FQ San Diego, California",0,4.600000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",32.801168,-117.233118,9175041278446202413,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepIRRIovu3ikkrRWAjmiWa_mvxk1sKByf-1DdiQ3pe7rUsg0OvgXnWEucVAcN_858jiRc8SjupBpUDT8w9BCm6jIGgO66we9WLmVQLc_2_rCteUoo1rl9BYs3Bbj2xpdVaqfI72UQ=w533-h240-k-no,America/Los_Angeles,,0x80dc01d4b2ced42f:0x7f544b6e6954ee2d,ChIJL9TOstQB3IARLe5UaW5LVH8,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""116977549979065140334"",""name"":""Shawarma Shack (Owner)"",""link"":""https://www.google.com/maps/contrib/116977549979065140334""}","{""borough"":""Pacific Beach"",""street"":""2015 Garnet Ave Ste 102"",""city"":""San Diego"",""postal_code"":""92109"",""state"":""California"",""country"":""US""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":true},{""name"":""Wheelchair accessible parking lot"",""enabled"":true},{""name"":""Wheelchair accessible restroom"",""enabled"":true},{""name"":""Wheelchair accessible seating"",""enabled"":true}]}]",[],null,
8babcc7f-99a9-4f16-8208-be98d5abf15e,https://www.google.com/maps/place/Single+Fin+Surf+Grill/data=!4m7!3m6!1s0x80dc01e50c4c12ad:0xa6fd5cd397c78a97!8m2!3d32.7856384!4d-117.2534219!16s%2Fg%2F1ptwgzq20!19sChIJrRJMDOUB3IARl4rHl9Nc_aY?authuser=0&hl=en&rclk=1,Single Fin Surf Grill,Restaurant,"3844 Mission Blvd, San Diego, CA 92109","{""Tuesday"":[""2–10 PM""]}",{},http://www.singlefinsd.com/,(858) 352-6611,"QPPW+7J San Diego, California",0,4.400000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",32.785638,-117.253422,12032875843258124951,,"Restaurant & bar serving burgers, seafood tacos & bar bites in an eclectic setting.",,https://lh3.googleusercontent.com/p/AF1QipOmroYBPf2M7CxmGb6coNPRej6Uv3ddXs17FzHQ=w408-h272-k-no,America/Los_Angeles,,0x80dc01e50c4c12ad:0xa6fd5cd397c78a97,ChIJrRJMDOUB3IARl4rHl9Nc_aY,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""103883453664988945208"",""name"":""Single Fin Surf Grill (Owner)"",""link"":""https://www.google.com/maps/contrib/103883453664988945208""}","{""borough"":""Mission Beach"",""street"":""3844 Mission Blvd"",""city"":""San Diego"",""postal_code"":""92109"",""state"":""California"",""country"":""US""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":true},{""name"":""Wheelchair accessible parking lot"",""enabled"":true},{""name"":""Wheelchair accessible restroom"",""enabled"":true},{""name"":""Wheelchair accessible seating"",""enabled"":true}]}]",[],null,
8babcc7f-99a9-4f16-8208-be98d5abf15e,https://www.google.com/maps/place/Sushi+Ota/data=!4m7!3m6!1s0x80dc0034529b4873:0x8bc55af4512dcaf3!8m2!3d32.8034896!4d-117.2164306!16s%2Fg%2F1thw_r5f!19sChIJc0ibUjQA3IAR88otUfRaxYs?authuser=0&hl=en&rclk=1,Sushi Ota,Sushi restaurant,"4529 Mission Bay Dr., San Diego, CA 92109","{""Tuesday"":[""5–10 PM""]}",{},https://www.sushi-ota.com/,(858) 880-8778,"RQ3M+9C San Diego, California",0,4.700000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",32.803490,-117.216431,10071556147064457971,,Chef-owned Japanese outfit in a modest strip-mall locale crafts premium sushi & omakase tastings.,,https://lh3.googleusercontent.com/p/AF1QipPuUy_cq2QAdxIUbndcxWniMvbCt9LlLL30YRlf=w408-h408-k-no,America/Los_Angeles,,0x80dc0034529b4873:0x8bc55af4512dcaf3,ChIJc0ibUjQA3IAR88otUfRaxYs,[],"[{""link"":""/url?q=https://www.opentable.com/restaurant/profile/277891%3Fref%3D1068\u0026opi=79508299\u0026sa=U\u0026ved=0ahUKEwiq1bCCg9CSAxXCn5UCHZrMHxQQ2ZABCBgoEQ\u0026usg=AOvVaw0ENShzinsMvwYmlFxTc2zU"",""source"":""opentable.com""},{""link"":""https://www.google.com/maps/reserve/v/dine/c/tLnplnDDzJ0?source=pa\u0026opi=79508299"",""source"":""google.com""}]",null,"{""link"":"""",""source"":""""}","{""id"":""112854754310865639236"",""name"":""Sushi Ota (Owner)"",""link"":""https://www.google.com/maps/contrib/112854754310865639236""}","{""borough"":""Pacific Beach"",""street"":""4529 Mission Bay Dr."",""city"":""San Diego"",""postal_code"":""92109"",""state"":""California"",""country"":""US""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":true},{""name"":""Wheelchair accessible parking lot"",""enabled"":true},{""name"":""Wheelchair accessible seating"",""enabled"":true}]}]",[],null,
